filename,speech_name,noise_name,realization,SNR
F200502_SNOW0_20,F200502,SNOW,0,20.0
F200502_SNOW0_inf,F200502,SNOW,0,inf
F200502_SNOW1_-20,F200502,SNOW,1,-20.0
F200502_SNOW1_-10,F200502,SNOW,1,-10.0
F200502_SNOW1_-5,F200502,SNOW,1,-5.0
F200502_SNOW1_0,F200502,SNOW,1,0.0
F200502_SNOW1_5,F200502,SNOW,1,5.0
F200502_SNOW1_10,F200502,SNOW,1,10.0
F200502_SNOW1_20,F200502,SNOW,1,20.0
F200502_SNOW1_inf,F200502,SNOW,1,inf
F200502_SNOW2_-20,F200502,SNOW,2,-20.0
F200502_SNOW2_-10,F200502,SNOW,2,-10.0
F200502_SNOW2_-5,F200502,SNOW,2,-5.0
F200502_SNOW2_0,F200502,SNOW,2,0.0
F200502_SNOW2_5,F200502,SNOW,2,5.0
F200502_SNOW2_10,F200502,SNOW,2,10.0
F200502_SNOW2_20,F200502,SNOW,2,20.0
F200502_SNOW2_inf,F200502,SNOW,2,inf
F200502_SNOW3_-20,F200502,SNOW,3,-20.0
F200502_SNOW3_-10,F200502,SNOW,3,-10.0
F200502_SNOW3_-5,F200502,SNOW,3,-5.0
F200502_SNOW3_0,F200502,SNOW,3,0.0
F200502_SNOW3_5,F200502,SNOW,3,5.0
F200502_SNOW3_10,F200502,SNOW,3,10.0
F200502_SNOW3_20,F200502,SNOW,3,20.0
F200502_SNOW3_inf,F200502,SNOW,3,inf
F200502_SNOW4_-20,F200502,SNOW,4,-20.0
F200502_SNOW4_-10,F200502,SNOW,4,-10.0
F200502_SNOW4_-5,F200502,SNOW,4,-5.0
F200502_SNOW4_0,F200502,SNOW,4,0.0
F200502_SNOW4_5,F200502,SNOW,4,5.0
F200502_SNOW4_10,F200502,SNOW,4,10.0
F200502_SNOW4_20,F200502,SNOW,4,20.0
F200502_SNOW4_inf,F200502,SNOW,4,inf
F200502_VACUUM0_-20,F200502,VACUUM,0,-20.0
F200502_VACUUM0_-10,F200502,VACUUM,0,-10.0
F200502_VACUUM0_-5,F200502,VACUUM,0,-5.0
F200502_VACUUM0_0,F200502,VACUUM,0,0.0
F200502_VACUUM0_5,F200502,VACUUM,0,5.0
F200502_VACUUM0_10,F200502,VACUUM,0,10.0
F200502_VACUUM0_20,F200502,VACUUM,0,20.0
F200502_VACUUM0_inf,F200502,VACUUM,0,inf
F200502_VACUUM1_-20,F200502,VACUUM,1,-20.0
F200502_VACUUM1_-10,F200502,VACUUM,1,-10.0
F200502_VACUUM1_-5,F200502,VACUUM,1,-5.0
F200502_VACUUM1_0,F200502,VACUUM,1,0.0
F200502_VACUUM1_5,F200502,VACUUM,1,5.0
F200502_VACUUM1_10,F200502,VACUUM,1,10.0
F200502_VACUUM1_20,F200502,VACUUM,1,20.0
F200502_VACUUM1_inf,F200502,VACUUM,1,inf
F200502_VACUUM2_-20,F200502,VACUUM,2,-20.0
F200502_VACUUM2_-10,F200502,VACUUM,2,-10.0
F200502_VACUUM2_-5,F200502,VACUUM,2,-5.0
F200502_VACUUM2_0,F200502,VACUUM,2,0.0
F200502_VACUUM2_5,F200502,VACUUM,2,5.0
F200502_VACUUM2_10,F200502,VACUUM,2,10.0
F200502_VACUUM2_20,F200502,VACUUM,2,20.0
F200502_VACUUM2_inf,F200502,VACUUM,2,inf
F200502_VACUUM3_-20,F200502,VACUUM,3,-20.0
F200502_VACUUM3_-10,F200502,VACUUM,3,-10.0
F200502_VACUUM3_-5,F200502,VACUUM,3,-5.0
F200502_VACUUM3_0,F200502,VACUUM,3,0.0
F200502_VACUUM3_5,F200502,VACUUM,3,5.0
F200502_VACUUM3_10,F200502,VACUUM,3,10.0
F200502_VACUUM3_20,F200502,VACUUM,3,20.0
F200502_VACUUM3_inf,F200502,VACUUM,3,inf
F200502_VACUUM4_-20,F200502,VACUUM,4,-20.0
F200502_VACUUM4_-10,F200502,VACUUM,4,-10.0
F200502_VACUUM4_-5,F200502,VACUUM,4,-5.0
F200502_VACUUM4_0,F200502,VACUUM,4,0.0
F200502_VACUUM4_5,F200502,VACUUM,4,5.0
F200502_VACUUM4_10,F200502,VACUUM,4,10.0
F200502_VACUUM4_20,F200502,VACUUM,4,20.0
F200502_VACUUM4_inf,F200502,VACUUM,4,inf
F200502_WASHING0_-20,F200502,WASHING,0,-20.0
F200502_WASHING0_-10,F200502,WASHING,0,-10.0
F200502_WASHING0_-5,F200502,WASHING,0,-5.0
F200502_WASHING0_0,F200502,WASHING,0,0.0
F200502_WASHING0_5,F200502,WASHING,0,5.0
F200502_WASHING0_10,F200502,WASHING,0,10.0
F200502_WASHING0_20,F200502,WASHING,0,20.0
F200502_WASHING0_inf,F200502,WASHING,0,inf
F200502_WASHING1_-20,F200502,WASHING,1,-20.0
F200502_WASHING1_-10,F200502,WASHING,1,-10.0
F200502_WASHING1_-5,F200502,WASHING,1,-5.0
F200502_WASHING1_0,F200502,WASHING,1,0.0
F200502_WASHING1_5,F200502,WASHING,1,5.0
F200502_WASHING1_10,F200502,WASHING,1,10.0
F200502_WASHING1_20,F200502,WASHING,1,20.0
F200502_WASHING1_inf,F200502,WASHING,1,inf
F200502_WASHING2_-20,F200502,WASHING,2,-20.0
F200502_WASHING2_-10,F200502,WASHING,2,-10.0
F200502_WASHING2_-5,F200502,WASHING,2,-5.0
F200502_WASHING2_0,F200502,WASHING,2,0.0
F200502_WASHING2_5,F200502,WASHING,2,5.0
F200502_WASHING2_10,F200502,WASHING,2,10.0
F200502_WASHING2_20,F200502,WASHING,2,20.0
F200502_WASHING2_inf,F200502,WASHING,2,inf
F200502_WASHING3_-20,F200502,WASHING,3,-20.0
F200502_WASHING3_-10,F200502,WASHING,3,-10.0
F200502_WASHING3_-5,F200502,WASHING,3,-5.0
F200502_WASHING3_0,F200502,WASHING,3,0.0
F200502_WASHING3_5,F200502,WASHING,3,5.0
F200502_WASHING3_10,F200502,WASHING,3,10.0
F200502_WASHING3_20,F200502,WASHING,3,20.0
F200502_WASHING3_inf,F200502,WASHING,3,inf
F200502_WASHING4_-20,F200502,WASHING,4,-20.0
F200502_WASHING4_-10,F200502,WASHING,4,-10.0
F200502_WASHING4_-5,F200502,WASHING,4,-5.0
F200502_WASHING4_0,F200502,WASHING,4,0.0
F200502_WASHING4_5,F200502,WASHING,4,5.0
F200502_WASHING4_10,F200502,WASHING,4,10.0
F200502_WASHING4_20,F200502,WASHING,4,20.0
F200502_WASHING4_inf,F200502,WASHING,4,inf
F200503_SNOW0_-20,F200503,SNOW,0,-20.0
F200503_SNOW0_-10,F200503,SNOW,0,-10.0
F200503_SNOW0_-5,F200503,SNOW,0,-5.0
F200503_SNOW0_0,F200503,SNOW,0,0.0
F200503_SNOW0_5,F200503,SNOW,0,5.0
F200503_SNOW0_10,F200503,SNOW,0,10.0
F200503_SNOW0_20,F200503,SNOW,0,20.0
F200503_SNOW0_inf,F200503,SNOW,0,inf
F200503_SNOW1_-20,F200503,SNOW,1,-20.0
F200503_SNOW1_-10,F200503,SNOW,1,-10.0
F200503_SNOW1_-5,F200503,SNOW,1,-5.0
F200503_SNOW1_0,F200503,SNOW,1,0.0
F200503_SNOW1_5,F200503,SNOW,1,5.0
F200503_SNOW1_10,F200503,SNOW,1,10.0
F200503_SNOW1_20,F200503,SNOW,1,20.0
F200503_SNOW1_inf,F200503,SNOW,1,inf
F200503_SNOW2_-20,F200503,SNOW,2,-20.0
F200503_SNOW2_-10,F200503,SNOW,2,-10.0
F200503_SNOW2_-5,F200503,SNOW,2,-5.0
F200503_SNOW2_0,F200503,SNOW,2,0.0
F200503_SNOW2_5,F200503,SNOW,2,5.0
F200503_SNOW2_10,F200503,SNOW,2,10.0
F200503_SNOW2_20,F200503,SNOW,2,20.0
F200503_SNOW2_inf,F200503,SNOW,2,inf
F200503_SNOW3_-20,F200503,SNOW,3,-20.0
F200503_SNOW3_-10,F200503,SNOW,3,-10.0
F200503_SNOW3_-5,F200503,SNOW,3,-5.0
F200503_SNOW3_0,F200503,SNOW,3,0.0
F200503_SNOW3_5,F200503,SNOW,3,5.0
F200503_SNOW3_10,F200503,SNOW,3,10.0
F200503_SNOW3_20,F200503,SNOW,3,20.0
F200503_SNOW3_inf,F200503,SNOW,3,inf
F200503_SNOW4_-20,F200503,SNOW,4,-20.0
F200503_SNOW4_-10,F200503,SNOW,4,-10.0
F200503_SNOW4_-5,F200503,SNOW,4,-5.0
F200503_SNOW4_0,F200503,SNOW,4,0.0
F200503_SNOW4_5,F200503,SNOW,4,5.0
F200503_SNOW4_10,F200503,SNOW,4,10.0
F200503_SNOW4_20,F200503,SNOW,4,20.0
F200503_SNOW4_inf,F200503,SNOW,4,inf
F200503_VACUUM0_-20,F200503,VACUUM,0,-20.0
F200503_VACUUM0_-10,F200503,VACUUM,0,-10.0
F200503_VACUUM0_-5,F200503,VACUUM,0,-5.0
F200503_VACUUM0_0,F200503,VACUUM,0,0.0
F200503_VACUUM0_5,F200503,VACUUM,0,5.0
F200503_VACUUM0_10,F200503,VACUUM,0,10.0
F200503_VACUUM0_20,F200503,VACUUM,0,20.0
F200503_VACUUM0_inf,F200503,VACUUM,0,inf
F200503_VACUUM1_-20,F200503,VACUUM,1,-20.0
F200503_VACUUM1_-10,F200503,VACUUM,1,-10.0
F200503_VACUUM1_-5,F200503,VACUUM,1,-5.0
F200503_VACUUM1_0,F200503,VACUUM,1,0.0
F200503_VACUUM1_5,F200503,VACUUM,1,5.0
F200503_VACUUM1_10,F200503,VACUUM,1,10.0
F200503_VACUUM1_20,F200503,VACUUM,1,20.0
F200503_VACUUM1_inf,F200503,VACUUM,1,inf
F200503_VACUUM2_-20,F200503,VACUUM,2,-20.0
F200503_VACUUM2_-10,F200503,VACUUM,2,-10.0
F200503_VACUUM2_-5,F200503,VACUUM,2,-5.0
F200503_VACUUM2_0,F200503,VACUUM,2,0.0
F200503_VACUUM2_5,F200503,VACUUM,2,5.0
F200503_VACUUM2_10,F200503,VACUUM,2,10.0
F200503_VACUUM2_20,F200503,VACUUM,2,20.0
F200503_VACUUM2_inf,F200503,VACUUM,2,inf
F200503_VACUUM3_-20,F200503,VACUUM,3,-20.0
F200503_VACUUM3_-10,F200503,VACUUM,3,-10.0
F200503_VACUUM3_-5,F200503,VACUUM,3,-5.0
F200503_VACUUM3_0,F200503,VACUUM,3,0.0
F200503_VACUUM3_5,F200503,VACUUM,3,5.0
F200503_VACUUM3_10,F200503,VACUUM,3,10.0
F200503_VACUUM3_20,F200503,VACUUM,3,20.0
F200503_VACUUM3_inf,F200503,VACUUM,3,inf
F200503_VACUUM4_-20,F200503,VACUUM,4,-20.0
F200503_VACUUM4_-10,F200503,VACUUM,4,-10.0
F200503_VACUUM4_-5,F200503,VACUUM,4,-5.0
F200503_VACUUM4_0,F200503,VACUUM,4,0.0
F200503_VACUUM4_5,F200503,VACUUM,4,5.0
F200503_VACUUM4_10,F200503,VACUUM,4,10.0
F200503_VACUUM4_20,F200503,VACUUM,4,20.0
F200503_VACUUM4_inf,F200503,VACUUM,4,inf
F200503_WASHING0_-20,F200503,WASHING,0,-20.0
F200503_WASHING0_-10,F200503,WASHING,0,-10.0
F200503_WASHING0_-5,F200503,WASHING,0,-5.0
F200503_WASHING0_0,F200503,WASHING,0,0.0
F200503_WASHING0_5,F200503,WASHING,0,5.0
F200503_WASHING0_10,F200503,WASHING,0,10.0
F200503_WASHING0_20,F200503,WASHING,0,20.0
F200503_WASHING0_inf,F200503,WASHING,0,inf
F200503_WASHING1_-20,F200503,WASHING,1,-20.0
F200503_WASHING1_-10,F200503,WASHING,1,-10.0
F200503_WASHING1_-5,F200503,WASHING,1,-5.0
F200503_WASHING1_0,F200503,WASHING,1,0.0
F200503_WASHING1_5,F200503,WASHING,1,5.0
F200503_WASHING1_10,F200503,WASHING,1,10.0
F200503_WASHING1_20,F200503,WASHING,1,20.0
F200503_WASHING1_inf,F200503,WASHING,1,inf
F200503_WASHING2_-20,F200503,WASHING,2,-20.0
F200503_WASHING2_-10,F200503,WASHING,2,-10.0
F200503_WASHING2_-5,F200503,WASHING,2,-5.0
F200503_WASHING2_0,F200503,WASHING,2,0.0
F200503_WASHING2_5,F200503,WASHING,2,5.0
F200503_WASHING2_10,F200503,WASHING,2,10.0
F200503_WASHING2_20,F200503,WASHING,2,20.0
F200503_WASHING2_inf,F200503,WASHING,2,inf
F200503_WASHING3_-20,F200503,WASHING,3,-20.0
F200503_WASHING3_-10,F200503,WASHING,3,-10.0
F200503_WASHING3_-5,F200503,WASHING,3,-5.0
F200503_WASHING3_0,F200503,WASHING,3,0.0
F200503_WASHING3_5,F200503,WASHING,3,5.0
F200503_WASHING3_10,F200503,WASHING,3,10.0
F200503_WASHING3_20,F200503,WASHING,3,20.0
F200503_WASHING3_inf,F200503,WASHING,3,inf
F200503_WASHING4_-20,F200503,WASHING,4,-20.0
F200503_WASHING4_-10,F200503,WASHING,4,-10.0
F200503_WASHING4_-5,F200503,WASHING,4,-5.0
F200503_WASHING4_0,F200503,WASHING,4,0.0
F200503_WASHING4_5,F200503,WASHING,4,5.0
F200503_WASHING4_10,F200503,WASHING,4,10.0
F200503_WASHING4_20,F200503,WASHING,4,20.0
F200503_WASHING4_inf,F200503,WASHING,4,inf
F200504_SNOW0_-20,F200504,SNOW,0,-20.0
F200504_SNOW0_-10,F200504,SNOW,0,-10.0
F200504_SNOW0_-5,F200504,SNOW,0,-5.0
F200504_SNOW0_0,F200504,SNOW,0,0.0
F200504_SNOW0_5,F200504,SNOW,0,5.0
F200504_SNOW0_10,F200504,SNOW,0,10.0
F200504_SNOW0_20,F200504,SNOW,0,20.0
F200504_SNOW0_inf,F200504,SNOW,0,inf
F200504_SNOW1_-20,F200504,SNOW,1,-20.0
F200504_SNOW1_-10,F200504,SNOW,1,-10.0
F200504_SNOW1_-5,F200504,SNOW,1,-5.0
F200504_SNOW1_0,F200504,SNOW,1,0.0
F200504_SNOW1_5,F200504,SNOW,1,5.0
F200504_SNOW1_10,F200504,SNOW,1,10.0
F200504_SNOW1_20,F200504,SNOW,1,20.0
F200504_SNOW1_inf,F200504,SNOW,1,inf
F200504_SNOW2_-20,F200504,SNOW,2,-20.0
F200504_SNOW2_-10,F200504,SNOW,2,-10.0
F200504_SNOW2_-5,F200504,SNOW,2,-5.0
F200504_SNOW2_0,F200504,SNOW,2,0.0
F200504_SNOW2_5,F200504,SNOW,2,5.0
F200504_SNOW2_10,F200504,SNOW,2,10.0
F200504_SNOW2_20,F200504,SNOW,2,20.0
F200504_SNOW2_inf,F200504,SNOW,2,inf
F200504_SNOW3_-20,F200504,SNOW,3,-20.0
F200504_SNOW3_-10,F200504,SNOW,3,-10.0
F200504_SNOW3_-5,F200504,SNOW,3,-5.0
F200504_SNOW3_0,F200504,SNOW,3,0.0
F200504_SNOW3_5,F200504,SNOW,3,5.0
F200504_SNOW3_10,F200504,SNOW,3,10.0
F200504_SNOW3_20,F200504,SNOW,3,20.0
F200504_SNOW3_inf,F200504,SNOW,3,inf
F200504_SNOW4_-20,F200504,SNOW,4,-20.0
F200504_SNOW4_-10,F200504,SNOW,4,-10.0
F200504_SNOW4_-5,F200504,SNOW,4,-5.0
F200504_SNOW4_0,F200504,SNOW,4,0.0
F200504_SNOW4_5,F200504,SNOW,4,5.0
F200504_SNOW4_10,F200504,SNOW,4,10.0
F200504_SNOW4_20,F200504,SNOW,4,20.0
F200504_SNOW4_inf,F200504,SNOW,4,inf
F200504_VACUUM0_-20,F200504,VACUUM,0,-20.0
F200504_VACUUM0_-10,F200504,VACUUM,0,-10.0
F200504_VACUUM0_-5,F200504,VACUUM,0,-5.0
F200504_VACUUM0_0,F200504,VACUUM,0,0.0
F200504_VACUUM0_5,F200504,VACUUM,0,5.0
F200504_VACUUM0_10,F200504,VACUUM,0,10.0
F200504_VACUUM0_20,F200504,VACUUM,0,20.0
F200504_VACUUM0_inf,F200504,VACUUM,0,inf
F200504_VACUUM1_-20,F200504,VACUUM,1,-20.0
F200504_VACUUM1_-10,F200504,VACUUM,1,-10.0
F200504_VACUUM1_-5,F200504,VACUUM,1,-5.0
F200504_VACUUM1_0,F200504,VACUUM,1,0.0
F200504_VACUUM1_5,F200504,VACUUM,1,5.0
F200504_VACUUM1_10,F200504,VACUUM,1,10.0
F200504_VACUUM1_20,F200504,VACUUM,1,20.0
F200504_VACUUM1_inf,F200504,VACUUM,1,inf
F200504_VACUUM2_-20,F200504,VACUUM,2,-20.0
F200504_VACUUM2_-10,F200504,VACUUM,2,-10.0
F200504_VACUUM2_-5,F200504,VACUUM,2,-5.0
F200504_VACUUM2_0,F200504,VACUUM,2,0.0
F200504_VACUUM2_5,F200504,VACUUM,2,5.0
F200504_VACUUM2_10,F200504,VACUUM,2,10.0
F200504_VACUUM2_20,F200504,VACUUM,2,20.0
F200504_VACUUM2_inf,F200504,VACUUM,2,inf
F200504_VACUUM3_-20,F200504,VACUUM,3,-20.0
F200504_VACUUM3_-10,F200504,VACUUM,3,-10.0
F200504_VACUUM3_-5,F200504,VACUUM,3,-5.0
F200504_VACUUM3_0,F200504,VACUUM,3,0.0
F200504_VACUUM3_5,F200504,VACUUM,3,5.0
F200504_VACUUM3_10,F200504,VACUUM,3,10.0
F200504_VACUUM3_20,F200504,VACUUM,3,20.0
F200504_VACUUM3_inf,F200504,VACUUM,3,inf
F200504_VACUUM4_-20,F200504,VACUUM,4,-20.0
F200504_VACUUM4_-10,F200504,VACUUM,4,-10.0
F200504_VACUUM4_-5,F200504,VACUUM,4,-5.0
F200504_VACUUM4_0,F200504,VACUUM,4,0.0
F200504_VACUUM4_5,F200504,VACUUM,4,5.0
F200504_VACUUM4_10,F200504,VACUUM,4,10.0
F200504_VACUUM4_20,F200504,VACUUM,4,20.0
F200504_VACUUM4_inf,F200504,VACUUM,4,inf
F200504_WASHING0_-20,F200504,WASHING,0,-20.0
F200504_WASHING0_-10,F200504,WASHING,0,-10.0
F200504_WASHING0_-5,F200504,WASHING,0,-5.0
F200504_WASHING0_0,F200504,WASHING,0,0.0
F200504_WASHING0_5,F200504,WASHING,0,5.0
F200504_WASHING0_10,F200504,WASHING,0,10.0
F200504_WASHING0_20,F200504,WASHING,0,20.0
F200504_WASHING0_inf,F200504,WASHING,0,inf
F200504_WASHING1_-20,F200504,WASHING,1,-20.0
F200504_WASHING1_-10,F200504,WASHING,1,-10.0
F200504_WASHING1_-5,F200504,WASHING,1,-5.0
F200504_WASHING1_0,F200504,WASHING,1,0.0
F200504_WASHING1_5,F200504,WASHING,1,5.0
F200504_WASHING1_10,F200504,WASHING,1,10.0
F200504_WASHING1_20,F200504,WASHING,1,20.0
F200504_WASHING1_inf,F200504,WASHING,1,inf
F200504_WASHING2_-20,F200504,WASHING,2,-20.0
F200504_WASHING2_-10,F200504,WASHING,2,-10.0
F200504_WASHING2_-5,F200504,WASHING,2,-5.0
F200504_WASHING2_0,F200504,WASHING,2,0.0
F200504_WASHING2_5,F200504,WASHING,2,5.0
F200504_WASHING2_10,F200504,WASHING,2,10.0
F200504_WASHING2_20,F200504,WASHING,2,20.0
F200504_WASHING2_inf,F200504,WASHING,2,inf
F200504_WASHING3_-20,F200504,WASHING,3,-20.0
F200504_WASHING3_-10,F200504,WASHING,3,-10.0
F200504_WASHING3_-5,F200504,WASHING,3,-5.0
F200504_WASHING3_0,F200504,WASHING,3,0.0
F200504_WASHING3_5,F200504,WASHING,3,5.0
F200504_WASHING3_10,F200504,WASHING,3,10.0
F200504_WASHING3_20,F200504,WASHING,3,20.0
F200504_WASHING3_inf,F200504,WASHING,3,inf
F200504_WASHING4_-20,F200504,WASHING,4,-20.0
F200504_WASHING4_-10,F200504,WASHING,4,-10.0
F200504_WASHING4_-5,F200504,WASHING,4,-5.0
F200504_WASHING4_0,F200504,WASHING,4,0.0
F200504_WASHING4_5,F200504,WASHING,4,5.0
F200504_WASHING4_10,F200504,WASHING,4,10.0
F200504_WASHING4_20,F200504,WASHING,4,20.0
F200504_WASHING4_inf,F200504,WASHING,4,inf
F200505_SNOW0_-20,F200505,SNOW,0,-20.0
F200505_SNOW0_-10,F200505,SNOW,0,-10.0
F200505_SNOW0_-5,F200505,SNOW,0,-5.0
F200505_SNOW0_0,F200505,SNOW,0,0.0
F200505_SNOW0_5,F200505,SNOW,0,5.0
F200505_SNOW0_10,F200505,SNOW,0,10.0
F200505_SNOW0_20,F200505,SNOW,0,20.0
F200505_SNOW0_inf,F200505,SNOW,0,inf
F200505_SNOW1_-20,F200505,SNOW,1,-20.0
F200505_SNOW1_-10,F200505,SNOW,1,-10.0
F200505_SNOW1_-5,F200505,SNOW,1,-5.0
